day,symbol,scenario,bias,entry_time_utc,pnl_R,events
2023-01-03,SPXUSD,2,bearish,2023-01-03 14:52:00+00:00,1.0,TP1@2023-01-03 16:14:00+00:00 | TP1@2023-01-03 16:15:00+00:00
2023-01-05,SPXUSD,1,bullish,2023-01-05 14:34:00+00:00,0.0,STOP@2023-01-05 14:34:00+00:00
2023-01-05,NSXUSD,2,bullish,2023-01-05 14:51:00+00:00,0.0,STOP@2023-01-05 14:51:00+00:00
2023-01-09,SPXUSD,2,bearish,2023-01-09 20:47:00+00:00,0.0,
2023-01-19,SPXUSD,2,bullish,2023-01-19 14:57:00+00:00,0.0,STOP@2023-01-19 14:57:00+00:00
2023-01-23,SPXUSD,1,bullish,2023-01-23 15:24:00+00:00,1.0,TP1@2023-01-23 16:20:00+00:00 | TP1@2023-01-23 16:21:00+00:00
2023-01-26,SPXUSD,2,bearish,2023-01-26 14:41:00+00:00,0.0,STOP@2023-01-26 14:41:00+00:00
2023-02-02,SPXUSD,1,bullish,2023-02-02 14:47:00+00:00,0.0,STOP@2023-02-02 14:51:00+00:00
2023-02-21,NSXUSD,1,bearish,2023-02-21 16:05:00+00:00,1.0,TP1@2023-02-21 20:16:00+00:00 | TP1@2023-02-21 20:17:00+00:00
2023-03-09,SPXUSD,2,bearish,2023-03-09 14:51:00+00:00,0.0,STOP@2023-03-09 14:51:00+00:00
2023-03-14,SPXUSD,2,bearish,2023-03-14 16:22:00+00:00,5.108992496002021,TP1@2023-03-14 19:09:00+00:00 | TP1@2023-03-14 19:10:00+00:00
2023-03-17,NSXUSD,2,bullish,2023-03-17 17:05:00+00:00,0.0,STOP@2023-03-17 17:05:00+00:00
2023-03-21,SPXUSD,1,bullish,2023-03-21 16:26:00+00:00,0.51902871818816,TP1@2023-03-21 17:30:00+00:00 | TP1@2023-03-21 17:31:00+00:00
2023-03-23,SPXUSD,2,bearish,2023-03-23 19:20:00+00:00,0.0,
2023-03-24,NSXUSD,2,bullish,2023-03-24 20:02:00+00:00,0.0,
2023-03-30,SPXUSD,2,bearish,2023-03-30 14:20:00+00:00,0.0,STOP@2023-03-30 14:20:00+00:00
2023-04-03,NSXUSD,2,bullish,2023-04-03 13:54:00+00:00,1.0000000000001459,TP1@2023-04-03 15:00:00+00:00 | TP1@2023-04-03 15:01:00+00:00
2023-04-06,NSXUSD,1,bullish,2023-04-06 16:19:00+00:00,1.0,TP1@2023-04-06 16:47:00+00:00 | TP1@2023-04-06 16:48:00+00:00
2023-04-10,NSXUSD,2,bullish,2023-04-10 16:44:00+00:00,0.41851400730815674,TP1@2023-04-10 18:00:00+00:00 | TP1@2023-04-10 18:01:00+00:00
2023-04-12,SPXUSD,2,bearish,2023-04-12 14:22:00+00:00,0.0,STOP@2023-04-12 14:22:00+00:00
2023-04-17,NSXUSD,2,bullish,2023-04-17 13:50:00+00:00,0.0,STOP@2023-04-17 15:03:00+00:00
2023-04-18,SPXUSD,2,bearish,2023-04-18 14:30:00+00:00,0.0,STOP@2023-04-18 14:30:00+00:00
2023-04-19,SPXUSD,2,bullish,2023-04-19 15:13:00+00:00,1.0,TP1@2023-04-19 17:00:00+00:00 | TP1@2023-04-19 17:01:00+00:00
